communityName,areaName,roomType,louCeng,area,jianZhu,chaoXiang,zhuangXiu,tiHu,guapaitime,jiaoyitime,nianxian,totalPrice,location
金浦小区(塘桥),浦东,1室1厅1厨1卫,低楼层 (共6层),40.43㎡,板楼,南,精装,一梯四户,2019-12-20,2010-10-21,满五年,276万元,塘桥
骏苑(二期),闵行,2室1厅1厨1卫,中楼层 (共11层),73.26㎡,板楼,南 北,毛坯,一梯四户,2019-11-06,2017-11-04,满两年,243万元,颛桥
天池二村,浦东,2室1厅1厨1卫,高楼层 (共6层),57.6㎡,板楼,南,简装,一梯四户,2019-05-03,2011-05-16,满五年,316.8万元,北蔡
绿地玲珑寓,金山,2室1厅1厨1卫,高楼层 (共6层),72.44㎡,板楼,南 北,精装,一梯三户,2019-12-18,2012-09-28,满五年,120万元,张堰
曙光南桥小区,浦东,2室1厅1厨1卫,高楼层 (共5层),68.81㎡,板楼,南,精装,一梯两户,2019-08-25,暂无数据,暂无数据,228万元,川沙
金地艺境(松江),松江,3室2厅1厨1卫,中楼层 (共11层),89.49㎡,板楼,南,精装,一梯两户,2019-12-29,2017-02-12,满两年,329万元,松江老城
恒业公寓,虹口,3室2厅1厨2卫,低楼层 (共12层),119.98㎡,塔楼,南,精装,两梯八户,2019-12-11,2000-08-18,满五年,615万元,鲁迅公园
东荷小区,浦东,2室1厅1厨1卫,低楼层 (共6层),74.27㎡,板楼,南,简装,一梯两户,2019-09-14,2019-08-27,未满两年,330万元,金桥
圣骊河滨苑,杨浦,2室2厅1厨1卫,高楼层 (共33层),83.31㎡,板楼,南,精装,两梯三户,2019-09-06,2009-07-08,满五年,698万元,东外滩
公交新村,杨浦,2室1厅1厨1卫,低楼层 (共6层),58.3㎡,板楼,南,精装,一梯三户,2019-12-19,2019-11-21,未满两年,420万元,鞍山
紫兰苑,静安,2室2厅1厨1卫,中楼层 (共17层),98.81㎡,板楼,南,简装,两梯三户,2019-11-23,2008-06-25,满五年,738万元,不夜城
恒阳花苑,杨浦,2室1厅1厨1卫,中楼层 (共28层),66.15㎡,板楼,南,简装,两梯六户,2019-12-15,2009-05-31,满五年,475万元,鞍山
控江路1200弄,杨浦,1室1厅1厨1卫,低楼层 (共5层),32.77㎡,板楼,南,简装,一梯六户,2019-12-05,暂无数据,暂无数据,288万元,控江路
凌兆佳苑,浦东,3室2厅1厨1卫,中楼层 (共6层),94.75㎡,板楼,南,简装,一梯两户,2020-01-04,2010-09-28,满五年,540万元,三林
宜川五村,普陀,1室1厅1厨1卫,中楼层 (共6层),36.65㎡,板楼,南,精装,一梯六户,2019-12-03,1995-02-16,满五年,175万元,甘泉宜川
鞍山八村,杨浦,1室0厅1厨1卫,中楼层 (共6层),31.28㎡,板楼,南,简装,一梯四户,2019-12-27,暂无数据,暂无数据,235万元,鞍山
虹日小区,长宁,2室1厅1厨1卫,中楼层 (共6层),51㎡,板楼,南,简装,一梯四户,2019-10-12,2002-12-15,满五年,299万元,虹桥
森林公馆,嘉定,2室1厅1厨1卫,低楼层 (共27层),86.97㎡,板楼,南 北,精装,两梯四户,2019-09-07,暂无数据,暂无数据,408万元,南翔
航华四村,闵行,2室1厅1厨1卫,中楼层 (共6层),56.42㎡,板楼,南,简装,一梯两户,2019-09-13,2012-12-06,满五年,260万元,航华
新德三村,浦东,2室1厅1厨1卫,高楼层 (共6层),60.78㎡,板楼,南,精装,一梯两户,2019-12-11,暂无数据,暂无数据,210万元,川沙
泉东小区,浦东,2室1厅1厨1卫,高楼层 (共6层),61.28㎡,板楼,南,精装,一梯三户,2019-08-19,2013-06-13,满五年,539万元,潍坊
丰怡苑,浦东,2室2厅1厨1卫,高楼层 (共6层),89.85㎡,板楼,南,精装,一梯两户,2019-08-08,2013-11-13,满五年,300万元,曹路
九茂小区,普陀,2室1厅1厨1卫,高楼层 (共6层),47.26㎡,板楼,南,精装,一梯四户,2019-06-10,2019-06-18,未满两年,306万元,长寿路
铁路职工小区,徐汇,2室1厅1厨1卫,中楼层 (共5层),40.25㎡,板楼,南,精装,一梯四户,2020-01-06,暂无数据,暂无数据,428万元,徐家汇
